empno,ename,job,mgr,hiredate,sal,commission,deptno
7080,bella_80,analyst,7008.0,1989-12-12,2125.0,,20
7081,carl_81,manager,7001.0,1989-12-21,2300.0,,30
7082,divya_82,support,7002.0,1989-12-30,2475.0,60.0,40
7083,ethan_83,operator,7003.0,1990-01-08,2650.0,,50
7084,farah_84,assistant,7004.0,1990-01-17,2825.0,,60
7085,george_85,clerk,7005.0,1990-01-26,900.0,,10
7086,hana_86,salesman,7006.0,1990-02-04,1075.0,60.0,20
7087,ian_87,analyst,7007.0,1990-02-13,1250.0,,30
7088,julia_88,manager,7008.0,1990-02-22,1425.0,,40
7089,kevin_89,support,7001.0,1990-03-03,1600.0,0.0,50
7090,lisa_90,operator,7002.0,1990-03-12,1775.0,,60
7091,mike_91,assistant,7003.0,1990-03-21,1950.0,,10
7092,nora_92,clerk,7004.0,1990-03-30,2125.0,,20
7093,owen_93,salesman,7005.0,1990-04-08,2300.0,0.0,30
7094,priya_94,analyst,7006.0,1990-04-17,2475.0,,40
7095,quentin_95,manager,7007.0,1990-04-26,2650.0,,50
7096,rachel_96,support,7008.0,1990-05-05,2825.0,180.0,60
7097,steve_97,operator,7001.0,1990-05-14,900.0,,10
7098,tina_98,assistant,7002.0,1990-05-23,1075.0,,20
7099,uma_99,clerk,7003.0,1990-06-01,1250.0,,30
7100,vinay_100,salesman,7004.0,1990-06-10,1425.0,180.0,40
